date,time,day,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8
9/14/2018,16:57,friday,NA,NA,grey_cmax_AJ41542ct,NA,NA,NA,prius_blue_LOWCO2,NA
9/14/2018,11:51,friday,bolt_blue_HGJ7220,volt_black_GVZ7068,grey_cmax_AJ41542ct,volt_black_FQA9507,leaf_silver_PA-temp,volt_black_DKQ4037,leaf_red_HLP9494,leaf_blue_FPX4015
9/13/2018,8:59,thursday,bolt_blue_HGJ7220,volt_black_GVZ7068,volt_blue_7AXIOM,NA,volt_black_FQA9507,leaf_silver_PA-temp,grey_cmax_AJ41542ct,fusion_blue_GEG8372
9/13/2018,6:42,thursday,NA,NA,NA,prius_blue_LOWCO2,volt_black_FQA9507,NA,NA,NA
9/12/2018,16:39,wednesday,volt_black_GVZ7068,NA,NA,prius_blue_LOWCO2,NA,NA,NA,leaf_silver_PA-temp
9/11/2018,16:37,tuesday,prius_blue_LOWCO2,volt_black_GVZ7068,volt_blue_7AXIOM,grey_cmax_AJ41542ct,NA,volt_black_DKQ4037,NA,fusion_blue_GEG8372
9/11/2018,11:58,tuesday,NA,NA,NA,NA,NA,NA,NA,NA
9/10/2018,12:31,monday,xc90_tan_EAV5552,leaf_silver_PA-temp,prius_blue_LOWCO2,volt_black_FQA9507,bolt_blue_HGJ7220,grey_cmax_AJ41542ct,volt_black_GVZ7068,volt_blue_7AXIOM
8/31/2018,11:41,friday,bolt_blue_HGJ7220,prius_blue_LOWCO2,NA,fusion_blue_GEG8372,cooper_grey_HMH2038,volt_black_FQA9507,leaf_blue_FPX4015,volt_black_GVZ7068
8/30/2018,12:44,thursday,volt_black_DKQ4037,volt_blue_7AXIOM,bolt_blue_HGJ7220,volt_black_GVZ7068,cooper_grey_HMH2038,volt_black_FQA9507,grey_cmax_AJ41542ct,prius_blue_LOWCO2
8/29/2018,11:36,wednesday,bolt_blue_HGJ7220,volt_blue_7AXIOM,prius_blue_LOWCO2,fusion_blue_GEG8372,grey_cmax_AJ41542ct,leaf_silver_GXK2882,volt_black_GVZ7068,volt_black_DKQ4037
8/28/2018,12:19,tuesday,bolt_blue_HGJ7220,volt_blue_7AXIOM,volt_black_DKQ4037,grey_cmax_AJ41542ct,fusion_blue_GEG8372,volt_black_GVZ7068,leaf_blue_FPX4015,cooper_grey_HMH2038
8/27/2018,11:46,monday,bolt_blue_HGJ7220,fusion_blue_GEG8372,xc90_white_FIQ6512,grey_cmax_AJ41542ct,volt_black_DKQ4037,volt_black_FQA9507,volt_black_GVZ7068,xc90_tan_EAV5552
8/24/2018,11:41,friday,bolt_blue_HGJ7220,leaf_blue_FPX4015,prius_blue_LOWCO2,grey_cmax_AJ41542ct,volt_blue_7AXIOM,volt_black_FQA9507,volt_black_GVZ7068,volt_black_DKQ4037
8/23/2018,12:01,thursday,model3_black,fusion_blue_GEG8372,leaf_silver_GXK2882,grey_cmax_AJ41542ct,bolt_blue_HGJ7220,volt_black_FQA9507,volt_black_GVZ7068,volt_black_DKQ4037
8/22/2018,11:52,wednesday,leaf_silver_GXK2882,volt_black_FQA9507,prius_blue_LOWCO2,grey_cmax_AJ41542ct,volt_blue_7AXIOM,leaf_red_HLP9494,volt_black_GVZ7068,volt_black_DKQ4037
8/21/2018,11:40,tuesday,bolt_blue_HGJ7220,leaf_blue_FPX4015,volt_blue_7AXIOM,grey_cmax_AJ41542ct,leaf_silver_GXK2882,cooper_grey_HMH2038,fusion_blue_GEG8372,volt_black_DKQ4037
8/20/2018,12:25,monday,cooper_grey_HMH2038,volt_black_FQA9507,fusion_blue_GEG8372,grey_cmax_AJ41542ct,volt_black_DKQ4037,volt_blue_7AXIOM,volt_black_GVZ7068,xc90_tan_EAV5552
8/17/2018,11:19,friday,leaf_blue_FPX4015,volt_black_FQA9507,leaf_white_HMF5443,grey_cmax_AJ41542ct,leaf_silver_GXK2882,volt_blue_7AXIOM,volt_black_GVZ7068,volt_black_DKQ4037
8/16/2018,12:15,thursday,fusion_blue_GEG8372,grey_cmax_AJ41542ct,cooper_grey_HMH2038,volt_blue_7AXIOM,leaf_white_HMF5443,leaf_red_HLP9494,volt_black_GVZ7068,volt_black_DKQ4037
8/15/2018,11:52,wednesday,volt_black_DKQ4037,volt_black_FQA9507,cooper_grey_HMH2038,grey_cmax_AJ41542ct,volt_blue_7AXIOM,leaf_red_HLP9494,volt_black_GVZ7068,xc90_tan_EAV5552
8/14/2018,11:47,tuesday,fusion_blue_GEG8372,prius_blue_LOWCO2,xc90_tan_EAV5552,NA,leaf_red_HLP9494,grey_cmax_AJ41542ct,volt_black_GVZ7068,volt_blue_7AXIOM
8/13/2018,12:14,monday,bolt_blue_HGJ7220,xc90_tan_EAV5552,fusion_blue_GEG8372,grey_cmax_AJ41542ct,cooper_grey_HMH2038,leaf_red_HLP9494,volt_black_DKQ4037,volt_blue_7AXIOM
8/10/2018,13:25,friday,bolt_blue_HGJ7220,leaf_blue_FPX4015,fusion_blue_GEG8372,grey_cmax_AJ41542ct,volt_black_DKQ4037,leaf_red_HLP9494,volt_black_GVZ7068,volt_blue_7AXIOM
8/9/2018,12:17,thursday,bolt_blue_HGJ7220,grey_cmax_AJ41542ct,prius_blue_LOWCO2,fusion_blue_GEG8372,volt_black_DKQ4037,leaf_red_HLP9494,volt_black_GVZ7068,volt_blue_7AXIOM
8/8/2018,11:23,wednesday,bolt_blue_HGJ7220,volt_blue_7AXIOM,prius_blue_LOWCO2,fusion_blue_GEG8372,grey_cmax_AJ41542ct,leaf_silver_GXK2882,cooper_grey_HMH2038,volt_black_DKQ4037
8/7/2018,10:40,tuesday,bolt_blue_HGJ7220,fusion_blue_GEG8372,xc90_white_FIQ6512,grey_cmax_AJ41542ct,leaf_red_HLP9494,cooper_grey_HMH2038,volt_blue_7AXIOM,volt_black_DKQ4037
8/6/2018,12:31,monday,bolt_blue_HGJ7220,volt_blue_7AXIOM,prius_blue_LOWCO2,grey_cmax_AJ41542ct,fusion_blue_GEG8372,leaf_red_HLP9494,volt_black_DKQ4037,cooper_grey_HMH2038
8/1/2018,11:43,wednesday,bolt_blue_HGJ7220,xc90_tan_EAV5552,volt_black_DKQ4037,volt_black_FQA9507,leaf_red_HLP9494,volt_blue_7AXIOM,volt_black_GVZ7068,fusion_blue_GEG8372
